"","Factor1","Factor2","Factor3","Factor4","Factor5","Factor6","Factor7","Factor8","Factor9","Factor10","Factor11","Factor12"
"QRICH1",-0.029,0.496,-0.167,0.04,0.042,0.386,-0.228,-0.058,0.39,0.161,-0.056,0.062
"SLC1A4",0.217,0.156,0.53,0.376,-0.097,-0.103,0.286,-0.153,-0.123,0.327,0.132,-0.013
"ABCA7",0.097,-0.108,0.578,-0.112,0.27,0.041,0.31,-0.009,0.188,-0.089,-0.036,-0.098
"ATAD3A",-0.117,0.692,0.268,0.043,-0.486,-0.028,-0.008,0.006,-0.088,-0.178,0.088,-0.061
"SLC35A4",-0.554,0.091,0.382,0.108,0.201,-0.189,0.092,-0.222,0.205,0.028,0.413,-0.008
"AGR2",0.126,0.003,-0.189,-0.108,-0.01,0.057,-0.072,-0.03,-0.06,-0.043,0.084,0.082
"GCN1",-0.299,0.595,0.543,0.054,-0.226,-0.063,0.066,0.005,0.047,-0.071,0.014,0.024
"SLC3A2",0.669,0.284,0.044,0.535,-0.04,0.206,-0.17,-0.178,-0.077,0.01,0.023,-0.063
"DELE1",0.12,-0.079,-0.336,0.192,0.033,-0.134,0.392,0.094,-0.248,0.145,0.258,-0.135
"SLC7A11",0.045,0.175,0.532,0.684,0.088,0.174,-0.176,0.019,-0.024,0.174,-0.004,-0.193
"ATF4",0.437,0.153,-0.279,0.677,-0.194,-0.045,-0.089,0.243,-0.215,-0.001,-0.078,-0.086
"HERC5",0.425,-0.321,-0.019,0.11,-0.201,0.446,-0.048,-0.041,0.196,0.1,0.003,-0.127
"SLC7A5",0.224,0.297,0.313,0.475,0.185,0.27,-0.443,-0.041,-0.216,-0.051,-0.052,0.067
"ARIH1",0.321,-0.013,0.331,0.138,0.328,0.445,-0.044,0.208,0.09,0.319,-0.082,0.107
"NARS1",-0.39,0.142,0.552,0.521,0.279,0.198,0.097,0.078,0.003,-0.072,0.119,0.024
"RPAP2",-0.285,-0.796,0.142,-0.035,-0.131,-0.022,0.052,0.023,0.07,0.032,-0.141,0.135
"APAF1",-0.589,0.03,0.067,-0.094,-0.325,-0.239,-0.327,0.139,-0.14,0.207,-0.264,0.155
"BATF2",-0.156,-0.061,-0.308,0.121,0.152,0.413,-0.017,-0.216,0.327,-0.281,-0.005,-0.263
"BBC3",0.678,-0.255,-0.327,0.158,0.17,0.066,-0.121,0.132,0.06,-0.298,-0.118,-0.193
"EIF2S1",-0.09,0.813,0.309,0.13,0.048,0.098,-0.051,-0.125,0.043,0.199,-0.132,0.144
"BCL2",0.519,-0.134,-0.515,0.03,-0.117,0.155,-0.038,-0.047,0.148,-0.21,0.141,-0.209
"BATF3",-0.121,0.132,0.029,0.073,-0.501,0.097,0.045,0.162,-0.025,-0.047,-0.15,0.19
"BIRC2",-0.166,0.28,0.168,0.061,0.311,0.386,-0.1,-0.051,-0.105,0.482,0.06,0.094
"BOK",-0.042,-0.028,-0.283,0.038,-0.019,-0.208,-0.596,0.177,-0.444,-0.112,-0.008,0.183
"OMA1",0.07,0.001,0.121,-0.009,0.128,0.018,0.746,-0.147,0.062,0.144,0.078,-0.118
"BIRC3",0.237,0.051,0.036,-0.025,-0.035,0.015,0.138,-0.447,0.004,0.215,0.176,-0.227
"EIF2AK1",-0.098,0.51,0.011,0.113,0.272,0.374,0.384,-0.059,-0.081,0.344,0.113,0.128
"BIRC5",-0.402,0.587,0.185,-0.071,-0.549,-0.123,0.003,-0.235,-0.007,0.035,-0.006,-0.045
"IMPACT",-0.474,-0.024,0.069,0.426,0.292,0.137,-0.009,0.476,-0.164,0.006,-0.016,-0.15
"ATG3",0.392,0.779,0.049,0.102,-0.099,0.234,0.03,-0.143,0.072,-0.083,-0.046,0.056
"NFE2",-0.01,0,0.062,-0.003,-0.052,0.052,0.052,-0.026,0.078,-0.035,-0.013,-0.281
"ATG5",-0.026,0.528,0.29,0.303,0.207,0.124,-0.085,-0.082,0.111,0.177,-0.102,0.005
"NFE2L3",0.171,0.07,-0.098,0.005,-0.574,-0.043,-0.057,0.185,0.057,0.127,-0.3,-0.165
"ATG7",-0.38,0.462,-0.011,0.16,-0.21,-0.076,0.01,-0.003,-0.008,-0.325,-0.201,-0.296
"CREBZF",0.059,-0.323,-0.316,-0.154,-0.168,-0.466,-0.014,0.231,-0.012,0.037,-0.23,-0.062
"GABARAP",0.405,0.025,-0.684,-0.058,0.342,0.392,0.046,0.075,-0.053,-0.142,0.058,0.035
"EIF2AK4",-0.39,0.548,0.464,0.041,0.132,0.018,-0.249,0.191,-0.1,-0.064,-0.135,-0.18
