"Tissue","proliferation_score"
"Cells - EBV-transformed lymphocytes",8.79904132914595
"Cells - Cultured fibroblasts",8.02126242442361
"Testis",6.53198290990614
"Esophagus - Mucosa",6.0770619538617
"Spleen",5.07803126755069
"Small Intestine - Terminal Ileum",4.9315276086867
"Vagina",4.61264901444608
"Colon - Transverse",4.53491664148301
"Skin - Not Sun Exposed (Suprapubic)",4.0340215852825
"Skin - Sun Exposed (Lower leg)",4.00000501149902
"Stomach",3.8181849367829
"Lung",3.73213469988035
"Cervix - Ectocervix",3.60903876797164
"Whole Blood",3.44513422790711
"Minor Salivary Gland",3.36670690753675
"Adrenal Gland",2.37846093017154
"Adipose - Visceral (Omentum)",2.20672118701503
"Bladder",2.19160430910671
"Liver",2.16808662873974
"Artery - Coronary",2.11720588772031
"Adipose - Subcutaneous",1.88209782426543
"Prostate",1.76710983572372
"Artery - Aorta",1.69816301659529
"Breast - Mammary Tissue",1.68257735109376
"Colon - Sigmoid",1.6275383636598
"Thyroid",1.55819523060386
"Ovary",1.54782538440689
"Kidney - Cortex",1.51841433913225
"Cervix - Endocervix",1.22628039332514
"Fallopian Tube",1.06288155226674
"Uterus",1.04419968293418
"Nerve - Tibial",0.996095892612783
"Esophagus - Muscularis",0.631192951857432
"Artery - Tibial",0.475074787591494
"Kidney - Medulla",0.462889938409708
"Heart - Left Ventricle",0.356727451734871
"Esophagus - Gastroesophageal Junction",0.351519973661416
"Heart - Atrial Appendage",0.234907732815283
"Pancreas",0.18010664249142
"Pituitary",-0.0124398719539136
"Brain - Spinal cord (cervical c-1)",-0.177000412550557
"Brain - Substantia nigra",-0.91255664079889
"Brain - Hypothalamus",-1.21910768205527
"Brain - Caudate (basal ganglia)",-1.22931673166204
"Brain - Frontal Cortex (BA9)",-1.25251580131564
"Muscle - Skeletal",-1.43928057283373
"Brain - Amygdala",-1.7447313574938
"Brain - Nucleus accumbens (basal ganglia)",-1.81453464490679
"Brain - Hippocampus",-1.86443579723674
"Brain - Anterior cingulate cortex (BA24)",-1.88658395871333
"Brain - Cerebellar Hemisphere",-2.0035965742481
"Brain - Cerebellum",-2.11246157890308
"Brain - Cortex",-2.14569130243653
"Brain - Putamen (basal ganglia)",-2.61481074568821
