"Tissue","proliferation_score"
"cells_ebv_transformed_lymphocytes",8.79904132914595
"cells_cultured_fibroblasts",8.02126242442361
"testis",6.53198290990614
"esophagus_mucosa",6.0770619538617
"spleen",5.07803126755069
"small_intestine_terminal_ileum",4.9315276086867
"vagina",4.61264901444608
"colon_transverse",4.53491664148301
"skin_suprapubic",4.0340215852825
"skin_lower_leg",4.00000501149902
"stomach",3.8181849367829
"lung",3.73213469988035
"cervix_ectocervix",3.60903876797164
"whole_blood",3.44513422790711
"salivary_gland",3.36670690753675
"adrenal_gland",2.37846093017154
"adipose_visceral_omentum",2.20672118701503
"bladder",2.19160430910671
"liver",2.16808662873974
"artery_coronary",2.11720588772031
"adipose_subcutaneous",1.88209782426543
"prostate",1.76710983572372
"artery_aorta",1.69816301659529
"breast_mammary",1.68257735109376
"colon_sigmoid",1.6275383636598
"thyroid",1.55819523060386
"ovary",1.54782538440689
"kidney_cortex",1.51841433913225
"cervix_endocervix",1.22628039332514
"fallopian_tube",1.06288155226674
"uterus",1.04419968293418
"nerve_tibial",0.996095892612783
"esophagus_muscularis",0.631192951857432
"artery_tibial",0.475074787591494
"kidney_medulla",0.462889938409708
"heart_left_ventricle",0.356727451734871
"esophagus_gastroesophageal_junction",0.351519973661416
"heart_atrial_appendage",0.234907732815283
"pancreas",0.18010664249142
"pituitary",-0.0124398719539136
"brain_spinal_cord_cervical_c1",-0.177000412550557
"brain_substantia_nigra",-0.91255664079889
"brain_hypothalamus",-1.21910768205527
"brain_caudate_basal_ganglia",-1.22931673166204
"brain_frontal_cortex",-1.25251580131564
"skeletal_muscle",-1.43928057283373
"brain_amygdala",-1.7447313574938
"brain_nucelus_accumbens_basal_ganglia",-1.81453464490679
"brain_hippocampus",-1.86443579723674
"brain_anterior_cingulate_cortex_ba24",-1.88658395871333
"brain_cerebellar_hemisphere",-2.0035965742481
"brain_cerebellum",-2.11246157890308
"brain_cortex",-2.14569130243653
"brain_putamen_basal_ganglia",-2.61481074568821
