"SAMPID","Tissue","avg_prolif"
"GTEX.1117F.0226.SM.5GZZ7","adipose_subcutaneous",1.5534
"GTEX.1117F.0426.SM.5EGHI","muscle_skeletal",0.4784
"GTEX.1117F.0526.SM.5EGHJ","artery_tibial",0.8568
"GTEX.1117F.0626.SM.5N9CS","artery_coronary",2.8927
"GTEX.1117F.0726.SM.5GIEN","heart_atrial_appendage",0.5938
"GTEX.1117F.1326.SM.5EGHH","adipose_visceral_omentum",2.1117
"GTEX.1117F.2426.SM.5EGGH","uterus",2.2777
"GTEX.1117F.2526.SM.5GZY6","vagina",51.54
"GTEX.1117F.2826.SM.5GZXL","breast_mammary_tissue",0.57443
"GTEX.1117F.2926.SM.5GZYI","skin_suprapubic",7.6271
"GTEX.1117F.3026.SM.5GZYU","minor_salivary_gland",9.7
"GTEX.1117F.3226.SM.5N9CT","brain_cortex",0.07621
"GTEX.111CU.0126.SM.5GZWZ","adrenal_gland",1.2272
"GTEX.111CU.0226.SM.5GZXC","thyroid",0.7492
"GTEX.111CU.0326.SM.5GZXO","lung",2.8436
"GTEX.111CU.0426.SM.5GZY1","spleen",12.102
"GTEX.111CU.0526.SM.5EGHK","pancreas",0.35401
"GTEX.111CU.0626.SM.5EGHL","esophagus_muscularis",0.65
"GTEX.111CU.0726.SM.5GZYD","esophagus_mucosa",78.43
"GTEX.111CU.0826.SM.5EGIJ","esophagus_gastroesophageal_junction",0.7809
"GTEX.111CU.0926.SM.5EGIK","stomach",42.737
"GTEX.111CU.1026.SM.5EGIL","adipose_visceral_omentum",2.5838
"GTEX.111CU.1126.SM.5EGIM","skin_suprapubic",7.8917
"GTEX.111CU.1226.SM.5EGIN","colon_sigmoid",0.7962
"GTEX.111CU.1326.SM.5NQ8L","small_intestine_terminal_ileum",1.5957
"GTEX.111CU.1426.SM.5GZYP","colon_transverse",56.98
"GTEX.111CU.1526.SM.5N9FS","prostate",0.8741
"GTEX.111CU.1726.SM.5EGHM","testis",164.037
"GTEX.111CU.1826.SM.5GZYN","adipose_subcutaneous",0.7005
"GTEX.111CU.2026.SM.5GZZC","muscle_skeletal",0.263932
"GTEX.111CU.2226.SM.5N9G5","nerve_tibial",0.39753
"GTEX.111FC.0126.SM.5N9DL","skin_lower_leg",19.305
"GTEX.111FC.0226.SM.5N9B8","adipose_subcutaneous",0.6839
"GTEX.111FC.0326.SM.5GZZ1","muscle_skeletal",0.095383
